Price,Open,High,Low,Close,Volume
Ticker,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
Date,,,,,
05/10/2020,0.002667,0.002706,0.002649,0.002674,107632465
12/10/2020,0.002674,0.002708,0.002557,0.002586,665171002
19/10/2020,0.002595,0.002691,0.002572,0.002653,396806315
26/10/2020,0.002653,0.002893,0.002518,0.002582,498019672
02/11/2020,0.002582,0.002819,0.002452,0.002711,318810939
09/11/2020,0.002711,0.002851,0.002655,0.002775,209608354
16/11/2020,0.002775,0.00366,0.002757,0.003329,530444023
23/11/2020,0.003329,0.004256,0.00298,0.003448,914933941
30/11/2020,0.003448,0.00358,0.003268,0.003388,384784411
07/12/2020,0.003388,0.0034,0.003009,0.003256,283757645
14/12/2020,0.003256,0.004678,0.003178,0.004625,1005405450
21/12/2020,0.004627,0.005406,0.00364,0.004548,1695010153
28/12/2020,0.004548,0.013867,0.004278,0.009771,6728378661
04/01/2021,0.009785,0.011421,0.007878,0.00986,4669103304
11/01/2021,0.009858,0.01003,0.00677,0.009067,2551797881
18/01/2021,0.00907,0.009613,0.007654,0.008727,1391969278
25/01/2021,0.008727,0.077973001,0.007294,0.037195999,54206221238
01/02/2021,0.037053999,0.084357001,0.029194999,0.078782,51941100416
08/02/2021,0.078351997,0.084945001,0.056722999,0.062537,41590422363
15/02/2021,0.062568001,0.063924,0.048034001,0.055980001,24457389035
22/02/2021,0.056044001,0.060465999,0.042410001,0.048052002,16655250530
01/03/2021,0.048069999,0.052397002,0.047878999,0.052122001,8704255861
08/03/2021,0.052122999,0.063051999,0.051672,0.058591999,14697916615
15/03/2021,0.058531001,0.060639001,0.054143,0.057234,7641462170
22/03/2021,0.057259001,0.057732001,0.049697001,0.053698,5747049473
29/03/2021,0.053677998,0.070110999,0.052269001,0.057404,11978153026
05/04/2021,0.057411,0.079242997,0.056435,0.074648999,17111651232
12/04/2021,0.074543998,0.437700003,0.068889,0.320475012,1.73047E+11
19/04/2021,0.320466012,0.431751013,0.163669005,0.251111001,1.17448E+11
26/04/2021,0.251239985,0.400029004,0.248025998,0.376046002,51655337710
03/05/2021,0.373631001,0.737567008,0.373631001,0.570070028,2.10588E+11
10/05/2021,0.569687009,0.58969003,0.357174993,0.514895022,98210631242
17/05/2021,0.513413012,0.684735,0.218266994,0.308070987,59461468677
24/05/2021,0.306715012,0.380010009,0.281792998,0.30222401,25897491373
31/05/2021,0.301948994,0.444590002,0.294330001,0.371807009,37662982421
07/06/2021,0.371565998,0.379678011,0.296660006,0.324382007,17155737791
14/06/2021,0.323902994,0.336926997,0.256467015,0.280900002,10627230130
21/06/2021,0.280660003,0.289144993,0.164654002,0.264450014,30935547695
28/06/2021,0.264918,0.274940014,0.238268003,0.246482998,11849266192
05/07/2021,0.246418998,0.246418998,0.196606994,0.215856001,10502590205
12/07/2021,0.216010004,0.218964994,0.169229999,0.182233006,9335558088
19/07/2021,0.181817994,0.214210004,0.160727993,0.197863996,13356668915
26/07/2021,0.198029995,0.232767001,0.195350006,0.204437003,14923848699
02/08/2021,0.204279006,0.281379014,0.193749994,0.240044996,19198032161
09/08/2021,0.240122005,0.348722011,0.231409997,0.341441005,34318088606
16/08/2021,0.340164989,0.350953013,0.282016009,0.314963013,30840040458
23/08/2021,0.314925998,0.328094006,0.265312999,0.281125009,16300007123
30/08/2021,0.281233013,0.315008998,0.270047009,0.314527005,15454107023
06/09/2021,0.314314991,0.319750994,0.216527,0.250616997,17711145618
13/09/2021,0.250624001,0.259535015,0.228910998,0.233142003,8985985576
20/09/2021,0.233161002,0.233605996,0.194489002,0.204962,11294628693
27/09/2021,0.205240995,0.226227999,0.195041999,0.221747994,7219951467
04/10/2021,0.221929997,0.271508992,0.213284001,0.229804993,20811390748
11/10/2021,0.229450002,0.244446993,0.216446996,0.237898007,10916115464
18/10/2021,0.237806007,0.281935006,0.236471996,0.277047992,18886283517
25/10/2021,0.275745004,0.338842988,0.220328003,0.280243993,44988462773
01/11/2021,0.280122995,0.285551012,0.250521004,0.266315013,13185007757
08/11/2021,0.266728014,0.296532005,0.238030002,0.262912005,14647538681
15/11/2021,0.262870014,0.265170008,0.216098994,0.226328,9534560222
22/11/2021,0.226160005,0.236201003,0.190344006,0.207471997,10308599127
29/11/2021,0.207443997,0.226889998,0.132826,0.171255007,13929503812
06/12/2021,0.171382993,0.183539003,0.159557998,0.169891,7199330526
13/12/2021,0.169880003,0.219632,0.151996002,0.169576004,13130790002
20/12/2021,0.169523001,0.195289999,0.161496997,0.190019995,7165181762
27/12/2021,0.189986005,0.192922994,0.165380999,0.174402997,4450508584
03/01/2022,0.174406007,0.174406007,0.147669002,0.151065007,4719863575
10/01/2022,0.151072994,0.203232005,0.139840007,0.177175999,14354998600
17/01/2022,0.177186996,0.177872002,0.122815996,0.141863003,7341169874
24/01/2022,0.141881004,0.152603,0.127220005,0.139470994,5924512008
